,"Cor.B.1.6-7","Cor.B.1.10.1","Cor.B.1.10.2","Cor.B.1.10.3","Cor.B.1.11","Cor.B.1.12","Cor.B.1.14","Cor.B.1.15","Cor.B.2.1","Cor.B.2.9","Cor.B.2.17","Cor.B.3.2","Cor.B.3.3","Cor.B.3.9","Cor.B.4.5","Cor.B.4.14","Cor.B.5.3","Cor.B.5.17","Cor.B.6.16","Cor.B.7.8","Cor.B.8.7","Cor.B.8.9","Cor.B.8.19","Cor.B.9.4.1","Cor.B.9.4.2","Cor.B.9.12-13","Cor.B.11.3","Cor.B.11.17","Cor.B.11.21","Cor.B.11.32","Cor.B.12.1.1","Cor.B.12.1.2","Cor.B.12.7.1","Cor.B.12.7.2","Cor.B.12.9","Cor.B.12.15.1","Cor.B.12.15.2","Cor.B.12.19","Cor.B.13.4.1","Cor.B.13.4.2"
"P45","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"P46","1","2","1","2","2","2","2","NA","1","3","2","NA","NA","1","2","4","3","1","3","3","1","1","NA","1","1","1","1","1","1","NA","1","1","2","1","1","1","1","2","NA","1"
"P66","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"P84","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"P88","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"01","1","1","1","1","1","2","1","1","NA","NA","1","2","1","1","2","1","3","1","2","1","2","1","1","2","1","1","1","1","1","3","3","1","1","2","1","1","2","1","2","1"
"Aleph-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleph-2","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","4","NA","NA","1","2","2","1","3","NA","NA"
"A","1","1","3","1","1","2","2","1","2","2","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","2","1","2","1","2","1"
"A-c","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
